Knowledge preparation completed in 9.73 seconds
[28]: [Cumulative]: Semantic Similarity: 0.41429,	 cache time: 0.0016527011476714037,	 generate time: 0.0018802429067677465
[29]: Semantic Similarity: 0.96569,	cache time: 0.0009963512420654297,	generate time: 0.0019996166229248047
[29]: [Cumulative]: Semantic Similarity: 0.43267,	 cache time: 0.0016308228174845378,	 generate time: 0.0018842220306396484
[30]: Semantic Similarity: 0.48221,	cache time: 0.0019838809967041016,	generate time: 0.00299835205078125
[30]: [Cumulative]: Semantic Similarity: 0.43426,	 cache time: 0.0016422117910077495,	 generate time: 0.0019201617087087324
[31]: Semantic Similarity: 0.42598,	cache time: 0.0009944438934326172,	generate time: 0.001997232437133789
[31]: [Cumulative]: Semantic Similarity: 0.43401,	 cache time: 0.0016219690442085266,	 generate time: 0.0019225701689720154
[32]: Semantic Similarity: 0.1121,	cache time: 0.0009970664978027344,	generate time: 0.0019996166229248047
[32]: [Cumulative]: Semantic Similarity: 0.42425,	 cache time: 0.0016030326034083512,	 generate time: 0.0019249049100008879
[33]: Semantic Similarity: 0.50367,	cache time: 0.001001119613647461,	generate time: 0.0020170211791992188
[33]: [Cumulative]: Semantic Similarity: 0.42659,	 cache time: 0.0015853292801800895,	 generate time: 0.0019276142120361328
[34]: Semantic Similarity: 0.46753,	cache time: 0.0010113716125488281,	generate time: 0.001986980438232422
[34]: [Cumulative]: Semantic Similarity: 0.42776,	 cache time: 0.0015689304896763393,	 generate time: 0.0019293103899274554
[35]: Semantic Similarity: 0.61237,	cache time: 0.0010008811950683594,	generate time: 0.002997875213623047
[35]: [Cumulative]: Semantic Similarity: 0.43288,	 cache time: 0.0015531513426038954,	 generate time: 0.001958992746141222
[36]: Semantic Similarity: 0.7167,	cache time: 0.0009965896606445312,	generate time: 0.004000663757324219
[36]: [Cumulative]: Semantic Similarity: 0.44056,	 cache time: 0.001538109134983372,	 generate time: 0.002014173043740762
[37]: Semantic Similarity: 0.60041,	cache time: 0.0010225772857666016,	generate time: 0.0020020008087158203
[37]: [Cumulative]: Semantic Similarity: 0.44476,	 cache time: 0.0015245425073724043,	 generate time: 0.002013852721766422
[38]: Semantic Similarity: 0.41667,	cache time: 0.002007007598876953,	generate time: 0.0009999275207519531
[38]: [Cumulative]: Semantic Similarity: 0.44404,	 cache time: 0.0015369134071545724,	 generate time: 0.0019878546396891275
[39]: Semantic Similarity: 1.0,	cache time: 0.002000093460083008,	generate time: 0.001999378204345703
[39]: [Cumulative]: Semantic Similarity: 0.45794,	 cache time: 0.0015484929084777833,	 generate time: 0.001988142728805542
[40]: Semantic Similarity: 0.17195,	cache time: 0.002001523971557617,	generate time: 0.002000093460083008
[40]: [Cumulative]: Semantic Similarity: 0.45097,	 cache time: 0.0015595424466016816,	 generate time: 0.001988434210056212
[41]: Semantic Similarity: 0.41497,	cache time: 0.002001047134399414,	generate time: 0.0020062923431396484
[41]: [Cumulative]: Semantic Similarity: 0.45011,	 cache time: 0.0015700544629778182,	 generate time: 0.0019888594037010556
[42]: Semantic Similarity: 0.12196,	cache time: 0.0019986629486083984,	generate time: 0.0020003318786621094
[42]: [Cumulative]: Semantic Similarity: 0.44248,	 cache time: 0.0015800221021785292,	 generate time: 0.001989126205444336
[43]: Semantic Similarity: 0.18512,	cache time: 0.0020017623901367188,	generate time: 0.00299835205078125
