Retriever BM25 prepared in 0.23427081108093262 seconds
[28]: Semantic Similarity: 0.17627,	retrieve time: 0.0010020732879638672,	generate time: 2.916879177093506
[28]: [Cumulative]: Semantic Similarity: 0.41655,	 retrieve time: 0.0007586808040224273,	 generate time: 0.8606946797206484
[29]: Semantic Similarity: 0.96569,	retrieve time: 0.0009989738464355469,	generate time: 2.855151653289795
[29]: [Cumulative]: Semantic Similarity: 0.43485,	 retrieve time: 0.0007666905721028645,	 generate time: 0.9271765788396199
[30]: Semantic Similarity: 0.46729,	retrieve time: 0.0010001659393310547,	generate time: 3.3543813228607178
[30]: [Cumulative]: Semantic Similarity: 0.4359,	 retrieve time: 0.0007742220355618385,	 generate time: 1.005473506066107
[31]: Semantic Similarity: 0.50847,	retrieve time: 0.0009875297546386719,	generate time: 1.7885806560516357
[31]: [Cumulative]: Semantic Similarity: 0.43817,	 retrieve time: 0.0007808879017829895,	 generate time: 1.0299456045031548
[32]: Semantic Similarity: 0.1121,	retrieve time: 0.0010020732879638672,	generate time: 3.8385159969329834
[32]: [Cumulative]: Semantic Similarity: 0.42829,	 retrieve time: 0.0007875904892430161,	 generate time: 1.1150537982131496
[33]: Semantic Similarity: 0.50904,	retrieve time: 0.0,	generate time: 1.8067445755004883
[33]: [Cumulative]: Semantic Similarity: 0.43066,	 retrieve time: 0.0007644260630888097,	 generate time: 1.1353976446039535
[34]: Semantic Similarity: 0.45297,	retrieve time: 0.0009999275207519531,	generate time: 3.8649778366088867
[34]: [Cumulative]: Semantic Similarity: 0.4313,	 retrieve time: 0.0007711546761648996,	 generate time: 1.2133856500898088
[35]: Semantic Similarity: 0.44547,	retrieve time: 0.002001047134399414,	generate time: 2.746769666671753
[35]: [Cumulative]: Semantic Similarity: 0.43169,	 retrieve time: 0.0008053183555603027,	 generate time: 1.2559796505504184
[36]: Semantic Similarity: 0.60317,	retrieve time: 0.0,	generate time: 2.084637403488159
[36]: [Cumulative]: Semantic Similarity: 0.43633,	 retrieve time: 0.0007835529945992135,	 generate time: 1.2783758060352222
[37]: Semantic Similarity: 0.31687,	retrieve time: 0.0,	generate time: 2.8059518337249756
[37]: [Cumulative]: Semantic Similarity: 0.43318,	 retrieve time: 0.0007629331789518657,	 generate time: 1.3185751751849526
[38]: Semantic Similarity: 0.93769,	retrieve time: 0.0009992122650146484,	generate time: 3.147106170654297
[38]: [Cumulative]: Semantic Similarity: 0.44612,	 retrieve time: 0.0007689916170560396,	 generate time: 1.3654605853251922
[39]: Semantic Similarity: 0.9409,	retrieve time: 0.0009989738464355469,	generate time: 2.781148672103882
[39]: [Cumulative]: Semantic Similarity: 0.45849,	 retrieve time: 0.0007747411727905273,	 generate time: 1.4008527874946595
[40]: Semantic Similarity: 0.14165,	retrieve time: 0.0,	generate time: 2.9426021575927734
[40]: [Cumulative]: Semantic Similarity: 0.45076,	 retrieve time: 0.0007558450466249047,	 generate time: 1.438456430667784
[41]: Semantic Similarity: 0.41497,	retrieve time: 0.0009992122650146484,	generate time: 2.9318594932556152
[41]: [Cumulative]: Semantic Similarity: 0.44991,	 retrieve time: 0.000761639504205613,	 generate time: 1.4740136464436848
[42]: Semantic Similarity: 0.12929,	retrieve time: 0.0010001659393310547,	generate time: 1.7756414413452148
[42]: [Cumulative]: Semantic Similarity: 0.44245,	 retrieve time: 0.000767186630603879,	 generate time: 1.4810282463251159
[43]: Semantic Similarity: 0.2629,	retrieve time: 0.0009927749633789062,	generate time: 3.8333215713500977
[43]: [Cumulative]: Semantic Similarity: 0.43837,	 retrieve time: 0.0007723136381669478,	 generate time: 1.5344894582575017
[44]: Semantic Similarity: 0.98604,	retrieve time: 0.0010077953338623047,	generate time: 2.747265100479126
[44]: [Cumulative]: Semantic Similarity: 0.45054,	 retrieve time: 0.0007775465647379558,	 generate time: 1.561440028084649
[45]: Semantic Similarity: 0.6392,	retrieve time: 0.0009937286376953125,	generate time: 2.760119676589966
